English,Urdu_True,Urdu_Pred
he can no longer wait,وہ مزید انتظار نہیں کر سکتا,وہ اب انتظار نہیں کر سکتا
what is zain drinking,زین پینے کیا ہے,زین کیا پیتا ہے
dont burst my bubble,میرا بلبلا مت پھٹاؤ,میری جھاڑو کو مت توڑو
are you still married,کیا آپ اب بھی شادی شدہ ہیں,کیا آپ اب بھی شادی شدہ ہیں
i will come back later,میں بعد میں واپس آؤں گا,میں بعد میں واپس آؤں گا۔
let me take it back for you,میں آپ کے لئے اسے واپس لے دو,میں آپ کے لئے اسے واپس لے جانے دو
zain was impolite,زین ناشائستہ تھا,زین بے وقوف تھا۔
zain shaved his head,زین نے اپنا سر منڈا یا,زین نے اپنا سر منڈوایا
it wouldn't surprise me	,مجھے حیرانی نہیں ہو گی۔,یہ مجھے حیران نہیں کرے گا
no one else was hurt,کوئی اور زخمی نہیں ہوا,کسی اور کو چوٹ نہیں آئی
some more bread,کچھ اور روٹی,کچھ اور روٹی
did you invite him,کیا تم نے اسے مدعو کیا؟,کیا تم نے اسے مدعو کیا؟
she talks a lot,وہ بہت بولتی ہے,وہ بہت بولتی ہے
they adopted a kid,انہوں نے ایک بچہ گود لیا,انہوں نے ایک بچہ گود لیا
i have a dictionary,میرے پاس ایک لغت ہے۔,میرے پاس ایک لغت ہے
zain laughed,زین ہنس دیا,زین ہنسا۔
you are lying to me,تم مجھ سے جھوٹ بول رہے ہو,تم مجھ سے جھوٹ بول رہے ہو
i gave him my address,میں نے اسے اپنا پتہ دیا۔,میں نے اسے اپنا پتہ دیا
this is the time for the tourist to visit pakistan,یہ سیاحوں کے لیے پاکستان آنے کا وقت ہے۔,یہ سیاح کو پاکستانی سیاحت کا وقت ہے۔
give me your car keys,مجھے اپنی گاڑی کی چابیاں دو,مجھے اپنی گاڑی کی چابیاں دو
gambling is illegal,جوا غیر قانونی ہے,جوا غیر قانونی ہے
i have a passport,میرے پاس پاسپورٹ ہے,میرے پاس پاسپورٹ ہے۔
let zain do it,زین کو یہ کرنے دیں,زین کو کرنے دیں
zain is good to me,زین میرے لئے اچھا ہے,زین میرے ساتھ اچھا ہے۔
stop hitting the cat,بلی کو مارنا بند کریں,بلی کو مارنا بند کرو
zain called mary,زین کو مریم کہا جاتا ہے,زین نے مریم کو بلایا
its obsolete,اس کا متروک,یہ منسوخ ہے
zain approves,زین نے منظور کیا۔,زین منظور
stop that tickles,اس گدگدی کو روکو,اسے بند کرو
zain lives above me,زین مجھ سے اوپر رہتا ہے,زین میرے اوپر رہتا ہے۔
zain still hates mary,زین اب بھی مریم سے نفرت کرتا ہے۔,زین اب بھی مریم سے نفرت کرتا ہے۔
there is no soap,کوئی صابن نہیں ہے,کوئی صابن نہیں ہے
zain left mary behind,زین نے مریم کو پیچھے چھوڑ دیا۔,زین مریم کو پیچھے چھوڑ دیا۔
he cant stay long,وہ زیادہ دیر نہیں رہ سکتا,وہ زیادہ دیر نہیں رہ سکتا
did you cut the paper,کیا آپ نے کاغذ کاٹا,کیا آپ نے کاغذ کاٹ دیا؟
zain is very unlucky,زین بہت بدقسمت ہے,زین بہت بدقسمت ہے
its an insult,یہ ایک توہین ہے,یہ ایک توہین ہے
i cant wait for you,میں آپ کا انتظار نہیں کر سکتا,میں آپ کا انتظار نہیں کر سکتا
i have a headache,میرے سر میں درد ہے,میرے سر میں درد ہے
they were right,وہ صحیح تھے,وہ صحیح تھے
i have got a lot to do,مجھے بہت کچھ کرنا ہے۔,مجھے بہت کچھ کرنا ہے
my school has a band,میرے اسکول میں ایک بینڈ ہے۔,میرے اسکول میں ایک بینڈ ہے
what a fine view,کتنا اچھا نظارہ ہے,کتنی اچھی نظر ہے
do it again,دوبارہ کریں,دوبارہ کریں
what about us,ہمارے بارے میں تفصیل,ہمارے بارے میں کیا
i asked zain to sing,میں نے زین سے گانے کو کہا,میں نے زین کو گانے کو کہا
my father is busy,میرے والد مصروف ہیں,میرے والد مصروف ہیں
i am a shutterbug,میں ایک شٹر بگ ہوں,میں ایک شتر بیگ ہوں
youve got my keys,تم نے میری چابیاں مل گئی ہیں,تم نے میری چابیاں مل گئی ہیں
may i open a can,کیا میں ایک ڈبہ کھول سکتا ہوں؟,کیا میں ایک کین کھول سکتا ہوں؟
i need his help,مجھے مدد کی ضرورت ہے,مجھے اس کی مدد چاہیے
we all speak french,ہم سب فرانسیسی بولتے ہیں۔,ہم سب فرانسیسی بولتے ہیں۔
shall we begin,کیا ہم شروع کریں گے؟,کیا ہم شروع کریں؟
who is next,اگلا کون ہے؟,اگلا کون ہے
what do we tell tom,ہم ٹام کو کیا بتائیں,ہم ٹام کو کیا کہتے ہیں
count to one hundred,ایک سو تک شمار,سو تک شمار کریں۔
he is a southpaw,وہ ایک جنوبی پاؤ ہے,وہ ایک جنوبی پاؤ ہے
this opportunity won’t arise again,یہ موقع دوبارہ پیدا نہیں ہوگا,یہ موقع دوبارہ نہیں آئے گا۔
beat it,بھاگ جائو۔,بجاؤ
leave my stuff alone,میرا سامان اکیلا چھوڑ دو,میری چیزیں اکیلا چھوڑ دو
you'll find the shop around the corner,تمھیں دکان سڑک کے کونے میں ملے گی۔,آپ کو کونے کے گرد دکان مل جائے گی۔
i have a list here,میرے پاس یہاں ایک فہرست ہے۔,میرے پاس یہاں ایک فہرست ہے۔
catch tom,ٹام کو پکڑو,ٹام کو پکڑو
is he dead,کیا وہ مر چکا ہے,کیا وہ مر گیا ہے
may i interrupt you,میں آپ کو ٹوک سکتا ہوں,کیا میں آپ کو ٹوک سکتا ہوں؟
how long does it take,اس میں کتنی دیر لگتی ہے,اور کتنا وقت لگتا ہے کہ
i am having lunch,میں دوپہر کا کھانا کھا رہا ہوں۔,میں دوپہر کا کھانا کھا رہا ہوں۔
i dont feel cheated,مجھے دھوکہ نہیں لگتا,مجھے دھوکہ دیا محسوس نہیں ہوتا
he sat on the bed,وہ بستر پر بیٹھ گیا,وہ بستر پر بیٹھ گیا
i like this tea,مجھے یہ چائے پسند ہے۔,مجھے یہ چائے پسند ہے
zain wont go alone,زین اکیلا نہیں جائے گا,زین اکیلا نہیں جائے گا
boys are stupid,لڑکے بیوقوف ہیں,لڑکے بیوقوف ہیں
please dont bother,براہ مہربانی پریشان نہ ہوں,براہ کرم پریشان نہ ہوں۔
that would be lying,یہ جھوٹ ہو گا,یہ جھوٹ بولنا ہو گا
zain trusts him,زین اس پر بھروسہ کرتا ہے,زین اس پر بھروسہ کرتا ہے۔
he is stark naked,وہ بالکل ننگا ہے,وہ مکمل طور پر ننگا ہے
did you find a job,کیا آپ کو کوئی ملازمت مل گئی,کیا آپ کو نوکری مل گئی؟
i love this picture,مجھے یہ تصویر پسند ہے۔,مجھے اس تصویر سے پیار ہے
zain wanted to unpack,زین کھولنا چاہتا تھا,زین پیک کرنا چاہتا تھا۔
zain blocked my way,زین نے میرا راستہ روک دیا۔,زین نے میرا راستہ بند کر دیا۔
stop me if you can,روک سکتے ہو تو مجھے روک لو,اگر تم کر سکتے ہو تو مجھے روکو
i like cats,مجھے بلیاں پسند ہیں,مجھے بلیاں پسند ہیں
i was home all night,میں ساری رات گھر میں تھا۔,میں ساری رات گھر تھا
i am very afraid,میں بہت خوفزدہ ہوں,میں بہت ڈرتا ہوں
zain is at school now,زین اب سکول میں ہے۔,زین اب سکول میں ہے۔
she came out on top,وہ سب سے اوپر باہر آیا,وہ سب سے اوپر باہر آیا
